,"1 if yes, 0 if no","1 if yes, 0 if no",Comments or Questions,
Reduce the number of clicks to get to desired services and update all sites with current information.,0,1,,
"Improve crime prevention and response by using technology such as smart cameras that can read license plates, used data to help reduce & prevent crime. ",1,0,,
"Improve efficiency, reduce spending, save energy. ",0,0,,
by being able to make transportation pick up and drop off easier also to be able to read the bus schedules online,0,1,,
Crime suppression,0,0,,
Access for all and making scheduling services more efficiently.,0,1,,
Two areas come to mind instantly:  1) Give me one secure place  I can go to submit payment for various city services/fees/etc... 2) Give me a central starting point for all City Services offered so I can easily find the help I need,0,1,,
Having the most recenet information possible,0,1,,
Create more and easier access to opportunities to work from home.,0,1,,
"Outreach. The city needs to forward deploy engagement teams to neighborhoods in the most need of services using data driven decisions on locations and priorities, also using evidence based policies that have proven to positively impact peopleÕs lives.",0,1,,
Reduce wait times by scheduling online appointments and filling out paperwork online,1,0,,
"I would like to see it used wisely and with purpose.  I would like to see technology used as a tool to help solve the problems SA is facing, not be employed for technologies sake.",1,0,,
"I personally rather speak to someone in person about any type of legal assistance.  For those who have no mobile way then yes, Internet access  would be helpful with a chat person on the other end where you can receive guidence on what steps are needed to receive help on your issues.",1,1,,
Don't know,0,0,,
"More mobile IKE kiosks to access City information and services in highly-visited areas like parks, health offices, near schools, etc.",1,1,,
Do not know,0,0,,
"In order for technology to improve public services, specifically via computer or phone application, it should be easily available and accessible to all members of the public. ",1,1,,
"I would like green energy to be a larger portion of the energy businesses and consumers use. I'd like better batteries for that storage of green energy, but NO BATTARY BUSSES (electrified trams are better).",1,0,,
Still able to access a person to talk to and not a machine.,1,1,,
The thought of having city services on one webpage is an idea. a person can click on the service needed or interested in would be easier for the citizen to web surf. City libraries should have more computers for the public who cannot afford one due to many services going paperless.,1,1,,
More internet access to everyone .,1,1,,
Everything needs to be more user friendly. The City is always purchasing/subscribing to programs with the lowest bidder and they never seem to be user friendly.,0,0,,
Hopefully being accessible to the people who need it.,0,1,,
Faster/more lines incase of imergencies,0,1,,
To improve environment such as litter and waste in San Antonio,0,0,,
Free wifi,1,1,,
Create a platform for acs where fosters and individuals with microchip scanners can sign up to help out those who find strays. There has to be some solutions besides holding a random dog you found for 7 days to get acs to come.,1,0,,
VIA has used text messages and cellphones instead of paper tickets which helps reduce our footprint. If we could keep advancing to help ppl use their phones to get safe transportation would be wonderful.,1,0,,
"Better access to information, developing user-friendly applications for citizens to use without roadblocks, and create more educational resources for citizens on their local government. ",1,1,,
Secure and easy to use portals of City and County services,1,1,,
"It's all about access. There needs to be more computers, WIFI, and better options for low-cost in-home internet. With only a handful of companies in town you're stuck with whichever one is where you live- Spectrum, Xfinity, etc. It makes no sense for my internet that cost $40 a month to jump to $70 a month simply because I'm going to continue using it. So many more people are working from home these days, access is EVERYTHING.",1,1,,
"Walkable streets, protected bike lanes, food accessibility, Wifi for all",1,1,,
Ease long slow processes and increase access,0,1,,
Integrate traffic and population databases to implement and improve public transportation.,1,1,,
Better ways to use technology to create alternative modes of transit other than cars.,1,1,,
Better public outreach in time of public health crisis. Not covid since that was a world wide issue but during monkeypox. It was very hard to get access to vaccines.,0,1,,
"Reduce crime, stop the know drug homes in E SA.
",0,0,,
providing real-time chat support and/or rapid response email support.,1,1,,
FREE AND ACCESSIBLE TO USE FOR EVERYONE.,0,1,,
Better internet infrastructure in City buildings to be able to provide a better experience for all who come through the city.,1,0,,
Everything from trash pickup to response times to public information and data could be improved with streamlined technology.,1,0,,
Be able to sign up on line for city services to avoid having to wait in line and getting a text message when you are up next.,1,1,,
Ways to more quickly and efficiently access the public services I need.,0,1,,
"A city with information seamlessly and constantly be transmitted between departments, services, and the city and its citizens. Where any citizen who is need of something can get on their device and easily access help/ resources online.",1,1,,
"A city with robust and diverse transportation infrastructure, built around the needs of the people living in it instead of cars.",1,1,,
like the country of Switzerland with a national/regional/city public transport system with a govt app or Amsterdam with a walkable city,1,1,,
Overpaying consultants to implement technology we don't need,1,0,,
cleaner cities with greater civil independence and self-sufficiency,0,0,,
Open data and decisions based upon that insight. More engaged government and govt services through tech/G2C portals. Tech that eases public transport.,1,1,,
A city that measures its services utilizing the latest technology in an automated fashion to produce real-time information,1,0,,
Expansion of the surveillance state,0,1,,
"Public dashboards that inform city residents of issues related to health and well-being, education, transportation, etc. Public dashboards are a way for city government to be transparent with residents. In addition to public dashboards, data gathered by the city and used for decision making should be publicly available for journalist and citizen data-scientists. Of course, privacy should be taken into consideration and efforts to ""anonymize"" data should be taken.  ",1,1,,
"A city that is involved, is engaged with residents, and anticipates needs rather than reacting passively to events.",0,0,,
"A city with affordable solar housing with lots of native plants growing in windowsills, alleyways, and streets, and a subway system for inexpensive and accessible transportation. As well as this, a smart city has walkable streets and public areas for people to hang out. Finally, a smart city has spaces for the homeless to stay. If not housing, they deserve areas protected from the elements for them to sit down and camp.",1,1,,
"Hybrid, energy conserving",1,0,,
"Buildings with rooftop greenery, integrated solar/wind energy, and renewable and clean methods of agriculture ",1,0,,
Not living as if it were 1960 any longer. Using data to make decisions and not policies based on politics. Smart means not prioritizing cars and educating the population there are smarter options.,1,0,,
Cleanliness for sure!,0,0,,
Easy access to dashboards containing useful information in a real-time matter.,1,1,,
"Fiber internet for ALL, public accessibility ports, massive public transport infrastructure ",1,1,,
"integrated services, increased efficiency (ex: smart lighting)",1,0,,
"Lots of electricity available, indoor garden, temperature control. Nature.",1,0,,
Easy connection to public services of all kinds; efficient public transportation; improved management of resources and services,1,1,,
Gimmicky labeling used by politicians to make me feel like itÕs worth voting for them.,0,0,,
"Walkable cities, better public transportation, free-Wi-Fi, affordable housing, solutions for our increasing unhoused population ",1,1,,
clear strategy to best use technology to improve the life style of its citizens and sustain such strategic objective,1,0,,
A unnecessary but flashy dept funneling important funds from key city functions,0,0,,
Increase smart traffic management of street lights. Increase access to wifi throughout the city. Plant more trees to decrease need for A/C power usage.,1,1,,
"Spending money for things not in the city charter, quit for dung and lower taxes",0,0,,
Equal to other cites our size and population,0,0,,
Technology advanced usage in the community and available to all.,1,1,,
"Clean air, smoke free, shade tree __, more park ",0,0,,
"Cities that provide easy access to technology to everyone, regardless of income.",1,1,,
they dont have ugly utility lines everywhere - is a smart city,1,0,,
Cities that use technology to improve services and hence quality of life for all citizens.,1,1,,
Much better public transportation.   Easily accessible wifi/internet for all. Stable energy grid and energy delivery.  Lots of green spaces for recreational and for wildlife.,1,1,,
Updated and modern,0,0,,
Crowd sourcing as a solution to problems.,0,0,,
"Sustainability, access to reliable public transportation, high walkability scores, equitable distribution of resources, sustainability , and connectivity ",0,1,,
"Cities that use technology to make living, working, and commuting east, enjoyable, and affordable.",1,1,,
"Electric grid is reliable, cleaner energy (nuclear), traffic managed ",1,0,,
Cities that are using technology to help their citizens.,1,1,,
Internet access and availability to services thru computer,1,1,,
"Inclusive,  progressive,  accessible,  sanitary,  sustainable,  resilient ",0,1,,
"The use of sensors to efficiently control traffic, EV infrastructure, city Wi-Fi, fast connection to city services, electronic payments like getting on a bus and autopay from my device",1,0,,
"timed street signals, electric chargers for vehicles, clean, efficient public transit",1,0,,
Cities that have more tech savvy populations perhaps due to language and/or age of its residents.,1,0,,
"Eco friendly, carbon foot print, taking accountability for government spending and using funds in a positive way",0,0,,
Technology to improve city services,1,0,,
"Environmentally smart, technology driven, and innovative transportation. ",1,0,,
Trains.,0,0,,
"Efficient, sustainable living",0,0,,
Easy interface between citizens and its government and our local government and State and Federal government entities.,1,1,,
A city where our children can go to school to learn rather than fear the possibility of harm. A city where our teachers do not have to live in fear of harm while passionately teaching.,0,0,,
City's with high speed internet access and options. Lots of places to get online and charge mobile devices.,1,1,,
Connected services & connected communications,1,1,,
More eco-friendly and cost effective programs,0,0,,
A technologically modern city,1,0,,
Computer aided government.  AI,1,0,,
Opportunity for integration and sustainable development but also security risks,0,0,,
More efficient cities. Cities with rapid public transit; where itÕs easy to navigate via smart phone.,1,0,,
"A city that optimizes resources and use modern technologies to improve its residents lives. A city with limited suburban sprawl (San Antonio has a huge problem with that and apparently no one is doing anything about it), mixed used areas with medium/high density living buildings with condos at higher floors and retail space at street level (not just at the Pearl or Downtown, but everywhere), effective frequent and reliable public transportation including busses and light railway system, frequent train connections with other cities (it's ridiculous to have only one train per day to Austin that takes 3 hours to arrive there).",1,1,,
Walkability/ public transport; environmental sustainability; connectedness esp public health info and resources,1,1,,
"City-wide WiFi, rail/tram systems.",1,1,,
Cities that have moved past car-dependent policies of the 1940s and 50s. San Francisco has an excellent public transit system and discourages cars in urban areas. It is great for residents and tourists alike to get around. There are fantastic city planning YouTube channels that give more info about public transit and city planning as it relates to car dependency,1,1,,
Better safety and cheaper ways to transport,0,1,,
Public Transit!!,0,1,,
"Doing the most for the city and it's people using the best, affordable resources available at the time knowing that innovation does not stop.",0,0,,
Public transportation and walkable communities,0,1,,
"Heavy reliance on public transportation (buses, train), solar panels on every skyscraper, biodiverse parks and landscapes, water collection, rip out concrete drainage ditches and replace with living green ways to promote filtration, educate people about the importance of farming/native gardens",1,1,,
Test,0,0,,
Cleaner and better developed,0,0,,
Safety,0,0,,
Very innovative and energy savvy.,1,0,,
Easy to use technology,1,0,,
Pretty cities with great technology,1,0,,
Community,0,0,,
Well a lot of technology thatÕs for sure but I also see a lot of distractions due to technology,1,0,,
More computer based services.,1,1,,
"Accessible Information to all, where to go for help fast",0,1,,
I would see it as a city that is hands on with more technology,1,0,,
The city innovating ways for the public to utilize those innovations that doesnÕt cause problems and/or peace of mind to trust the city.,0,0,,
Less traffic and pollution,0,0,,
"Using data generated by the community to inform organizational, process, or technological innovation.",1,1,,
"A city that helps  the people in business 
",0,0,,
A city of vary smart people,0,0,,
Tech enthusiast,1,0,,
Technology,1,0,,
Innovative technologies to reduce pollution and reduce time in public buildings,1,0,,
"A team that helps our communities grow with better technology and services that expand the cities outreach. I also see smart cities as a team that looks to help serve the communities issues and how to combat those problems to make it better for people and people who are majorly affected. Also making the city more efficient, increasing awareness for technology, public transportation and bringing the community together. ",1,1,,
Safe and accessible,0,0,,
New technology better improvement,1,0,,
Centris de estudio gratuito,0,0,,
A city that is up to date with smart tech,1,0,,
All around help with least struggle,0,0,,
Easy to commute,0,0,,
More tech being used by public,1,1,,
"Energy conservation, efficiency and fast paced environment. ",0,0,,
Technologically advanced,1,0,,
connected.,0,0,,
Easy access to technology.,1,1,,
Responding to needs of citizens,0,0,,
Technology,0,0,,
Technology higher,0,0,,
Future of SATX,0,0,,
Forward thinking,0,0,,
Flying vehicles,1,0,,
"Smart is keeping the community safe. Analysimh the changes. People work from ho,Ed now. Neighbors blasting music at all hours isnÕt acceptable. Residential streets over crowded with cars. Each home should be limited to the amount of vehicles. Causes accidents and too dangerous for kids to play outside.",0,0,,
"Ability to access services by way of apps, making it self serving",1,1,,
Environmentally innovative city,0,0,,
Using technology to improve access,1,1,,
Everything that is used through technology,1,0,,
Everything on chargers,0,0,,
"Traffic, cleaness, environment air quality,",0,0,,
Technologies y ciudada moderno,1,0,,
We still have a long way,0,0,,
Tesla,1,0,,
A city that uses the most up-to-date technology,1,0,,
better technology and faster processes,1,0,,
Technology that helps you connect and access community services to improve your quality and safety of life,1,1,,
"SINGAPORE and FINLAND: Computerized environmentally-friendly city with lots of greenspace and futuristic public transportation and high-speed commuter rail, plug and play innovation spaces and innovation parks, healthcare booths around the city and in parks, experiments in desalination and sourcing water from Gulf, rain capture systems across city and new ponds and lakes with fish for fishing, forage-ready public gardens and fruit trees in all green spaces, green rooftops for existing buildings, new green buildings with green vines and trees climbing exteriors, biodomes, sidewalks, collaboration and support services for small businesses and innovators (including patenting, funding, and mentoring), new experiential learning education methods tested and used at all levels, public labs in parks, high-tech teaching and learning centers, dashboards for city services and natural resources, totally digitized public services, experiments in alternative and affordable housing (even using pods), free and safe wifi in parks and across all public spaces, experiments always active in innovation in all city services, collaborations between universities and city for innovation experiments, digital interactions between citizens and city officials and staff, use of holograms, electric vehicle infrastructure, future forward and green international direct flight airports and ports, more independent and small shops, cafes and restaurants, digitized and better timed street signals (not spy cameras for police), including and diversity considered in every decision, delivery pods and drones for groceries, packages, and mail, more public gathering and sharing spaces and platforms that match citizen's skills and needs, future job training for citizens, more biking areas, public art integrated in all public spaces, one central app for city services, thinkers groups, turning garbage dumps into hiking hills and trails, bio-packaging requirements, innovations in waste management.",1,0,,
A city were technology is integrated to make human life easier and more automated,1,0,,
Cities that are high tech,0,0,,
A technology based city like San Francisco,0,0,,
Environmentally safe and Smart with tech,0,0,,
Technology based cities,0,0,,
"Stupid ideas from the city of San Antonio, allow the residents to speak",0,0,,
No idea,0,0,,
Idk,0,0,,
Better communication,0,0,,
"Invasion of my privacy ,a lot of efficiency but risk are  to much .",0,0,,
Using tech features more than in the past.,1,0,,
Doing things to improve city services,0,0,,
Interconnection between public and private entities,0,0,,
Downtowns and parks that have access to free internet.,0,1,,
Trains and walkable cities.,0,0,,
Excellent public transit with signage for (accurate) wait times.  Light rail and trams with priority transit would be very important.,0,0,,
"Public transportation! Safe travel for pedestrians and other non-vehicular transport, citizens supporting housing insecure individuals by getting them into affordable housing FIRST, supporting individuals who struggle with mental illness.  ",0,0,,
Cities built for proper growth and living conditions leveraging technology to accomplish this.,0,0,,
Automation,1,0,,
"Clean, green, and with reliable public transportation.",0,0,,
"Cities with less pollution as they use clean energy to power electric systems for transportation, better thought out safe roads, and incorporation of technology that helps to reduce our carbon footprint while reducing our concrete jungle.",0,0,,
Protection of infrastructure from bad actors.,0,0,,
Management buzzword.,0,0,,
"That I don't know what ""smart cities"" actually does for regular people and that it sounds like a board room marketing term. Using technology is good but I would like to just be told what's going to improve without the cute lingo.",0,0,,
better public transit,0,0,,
"Clean, green energy",0,0,,
a resilient city is where residents are educated enough to be highly productive and healthy enough to take advantage of it.,1,0,,
"Commuter railways, protected bike lines, improvements to make the city for walkable in general, etc.",0,0,,
"A city that uses technology to make public resources easy to access, learn about, encourage people to come together. ",1,0,,
Fast public transit rails,0,0,,
"Cities purposely built to serve citizens. Bike lines where biking is practical, light rail where practical. Reduced parking in downtown with Better transit options. Data driven city planning. Build to attract business and skilled workers to downtown. Desirable place to live.",0,0,,
"A city with efficient public transportation, housing, crime prevention, hub for innovative jobs.",0,0,,
Great interconnected public transportation options like light rails subways trains,0,0,,
Cities that incorporate technology in everyday use to help lower day to day operations.,1,0,,
Technology and modern use of technology to help sustainability,1,0,,
People focused infrastructure and optimization.,0,0,,
"A city where a car is not needed because the city is designed for humans, not cars, and rapid transit is so available that it is more convenient to use than a car.",0,0,,
"Cities planned around the people and not around businesses. Cities that adapt to peoples needs such as areas without cars to encourage foot traffic (more space for local stalls, while also helping obesity rates)",0,0,,
Cities designed to meet the needs of citizens instead of the needs of cars and big businesses.,0,0,,
"Any city in China, we are so far behind.",0,0,,
"more busses and trains, make it easier for people to go places without a car, im a bad driver and i am a danger to myself and others in a car.",0,0,,
V2X interconnected enterprise system,0,0,,
"Cities like Amsterdam that have good public transport and prioritize humans over cars, city that uses sustainable power like solar and nuclear, city that has good urban development and prevents ugly  suburban sprawl",0,0,,
"Using technology in public spaces to improve quality of life including public safety, transit, and access to data",1,1,,
"Electric vehicle charging, good and convenient public transportation, more walking paths/areas",0,0,,
Good public transport and walkable communities with comprehensive public services.,0,0,,
"Electric light rail like Salt Lake City, UT has.  Charging stations for EV.  Easy access to Dr Offices and Labs for physically challenged people.  Internet access for all.",1,1,,
"Rail, better airport.",0,0,,
"Electric trains, free WiFi, free events with local businesses selling there. ",1,1,,
"Streamlined public transit aside from gas vehicles, technologically advanced public facilities (city hall, court house), stipends for residents to ""go electric""",0,0,,
"A smart city, in my opinion is one that is efficient. Efficiency being where our public service and aids such as public transportation are reliable and convient.",0,0,,
Efficient public transportation with rail.,0,0,,
"Access to information, mixed zoning, and public transportation. ",0,1,,
Any major city out West,0,0,,
Efficient technology solutions for the public and every day use,1,0,,
"Cities that strategically invest in technology by utilizing competent vendors, creating platforms that benefit the public at large (as opposed to one small group), and that make life easier/more productive for the average citizen. ",1,0,,
Cities that run almost entirely on wifi,1,0,,
200 people in rural US,0,0,,
"Clean, high tech vehicles and solid infrastructure ",1,0,,
Public data collected and used to improve quality of life.,0,0,,
Eco-friendly light rail,0,0,,
A city that leverages technology to improve its residentsÕ lives without compromising their privacy.,1,0,,
"Renewable, sustainable, more pedestrian and bike friendly (especially in the warm climate of south central Texas)",0,0,,
"A city that works for a mass population, which is mostly lower income. ",0,0,,
"San Antonio is NOT a smart city. A smart city has a ban on single use plastics, ban on grocery store single use plastic bags. In SA thereÕs no incentive to go green. There should be rewards for people who give up their car use for a few days a week and use public transportation. A reward for recycling over using the regular trash bin. There should be a plastic tax and a gasoline tax. In Mexico City, you can only use your car on specific days of the week. San Antonio is waiting to get that polluted before doing that, but do it now. ThereÕs not enough publicity by the city on the state of pollution in San Antonio, nobody cares because the city does nothing to encourage and promote green living. Why are there no Òbad airÓ alerts on our phones from the city, even though the weather apps are saying itÕs a bad air day here? The city can do more to make us aware. People will get selfishly angry if they canÕt use their cars instead of wanting to lessen pollution and the city can help change that attitude. ",0,0,,
Cities with mixed use communities interconnected with accessible transportation like light rail and such,1,1,,
Trains public transportation,0,0,,
Cities that are efficient and implement data driven infrastructure.,0,0,,
Railway and using technology to help people without impacting the environment,1,0,,
"urban rail, denser mixed-use development ",0,0,,
"Automated government processes, a fast and reliable mode of public transport, better recycling systems and other environmental actions, public resources that the homeless and underserved can easily access and use if they donÕt have a personal phone or computer.",1,0,,
Complications. Down internet access,1,1,,
Easy apps for public services and bill payments. Easily navigate government websites. Recordings of events and meetings.,1,1,,
I really have no idea,0,0,,
Traffic lights that immediately respond to a car sitting at a red light when there is no counter-traffic. We currently have dumb traffic lights that waste our travel time. The city should have invested the excess CPS funds into grid enhancement to save us money in the future. Epic fail.,1,0,,
Walkable and sustainable cities with great public transit,0,0,,
"Having lived in San Jose, CA for 22 years (I am originally from Austin) I understand the concept of a Smart City and think that San Antonio could benefit from leveraging the things San Jose has on their road map and has implemented to date.",0,0,,
Make better use of solar energy and reducing the economic impact on households by having CPS provide the panels for homeowners.,1,0,,
Corporate efforts to sell communities that buying their services are rational choices.,0,0,,
Cities that are leveraging their resources to uplift their community,0,0,,
"Online services,  Kiosk equipment throughout the city, secured services,  real live solutions and responses, able to access and solve problem from home, no long lines waiting for in person visits. ",1,0,,
"convenience, but (possibly) less privacy",0,0,,
patting oneself on the back while misusing the data collected.,0,0,,
invested in technology,1,0,,
Employing modern technology to improve the short-term and long-term quality of life in the city.,1,0,,
Trains allowing for convenient and quick ways to move around the city.,0,0,,
Good city,0,0,,
Infrastructure that prioritizes people .,0,0,,
Rail Transit,0,0,,
"A city that is planning for the future: exploring new industries, new housing communities w affordable solar energy, developing the inner city (homes, employment and education), promoting healthy living, and opportunities for small businesses and addressing crime. ",0,1,,
Cities that are using the most current technology to provide services to their citizens,1,0,,
Integrated use of smart technology to improve access to vital services and speed response time.Nothing,1,0,,
"User friendly city all connected through easy to access friendly government and central online access portal for everything and easy paper access for those who prefer. Walkable, light rail, commuter rail. Greenways and bike lanes. Priority on tree planting and green spaces and parks. Smart growth. Density not sprawl. Protect natural beauty of Texas hill country and country side by promoting dense smart growth and not sprawling suburbia. ",1,1,,
"Every household is connected to all the resources the city has to offer and knows how to navigate the resources
Clean energy usage",1,0,,
Technology focused. Digital City Hall. Being able to access city services online. Technology informed decisions.,1,0,,
"Poor marketing, a smart city does not declare itself a smart city. The residents appreciate their quality of life more and overall moral is raised.",0,0,,
No clue.,0,0,,
Invasion of privacy,0,0,,
Clean safe cities where technology is used for quick response to crimes and to file charges resulting in prosecution.,1,0,,
interconnectivity,0,0,,
"Easy access to information, better public transport, clean energy",0,1,,
Commuter rail system,0,0,,
"I have a negative view of anything preceded by the ""smart"" adjective. Often they are just a new way to rip people off.",0,0,,
"Unsure. It doesn't say much of what it entails, smart in what way? Potentially too much automation?",0,0,,
Cities that use technology to solve problems.,1,0,,
"- adopt city-wide efforts to reduce water use (like charging more for private pools) so everyone can see how dire the situation is
- broader connectivity
- roads that charge EVs
- follow Bogota and create dedicate bus lanes to reduce traffic congestion ",0,0,,
Effective and efficient use of city dollars,0,0,,
cities that use data and technology to improve the quality of life for everyone. In a way that is equitable and green.,1,0,,
"If you have ever been to Portland Oregon, their transit technology keeps the city commuters centered. I rode my bike and used the buses and trains everywhere in that city for almost 15 years before moving to San Antonio. I have not used a single bus since moving here, as I feel it is unreliable and unsafe.",1,0,,
"Not sure. Maybe something involving technology to manage traffic, or monitor infrastructure (water pipes that are about to burst, electricity use)",1,0,,
"Cities that are intentional in their development and governance with an eye to making improvements that benefit citizens in the long term, not short term politics and decisions.",0,0,,
Using data and technology to be more efficient and effective.,1,0,,
Needless programs with minimal impact on the community.,0,0,,
"Cities with public wifi, charging ports, electric public transportation, basically cities that use technology to help all citizens access what they need.",1,1,,
"Energy efficient structures, hybrid/ electric fleet, wireless internet available. ",1,0,,
smart cities means that we use technology in a more innovative way to create end user success.,1,0,,
"Cities using technology to improve the lives of their citizens, and balancing it with sustainable solutions for long-term environmental impact.",1,0,,
"good public transit, easily accessible public services",0,0,,
Public transportation that is reliable. Right now our only option is VIA. I previously took advantage of the park and ride option...until my stop was closed due to construction.,0,0,,
CSI effect.,0,0,,
"accessing more through a phone or computer, via services, information, engagement. Being able to make decisions based on real time data and information.",1,1,,
Technology based; using technology to provide more efficient services or environment.,1,0,,
"multiple Information available by connected to apps, not just City service information",1,1,,
"Using technology to reduce pollution, improve access to services with the use of virtual lines, face time, and more online portals for city services.",1,1,,
Better/ greener transportation and walkable/wheelable sidewalks in our communities. Clean public spaces and parks. green energy,0,1,,
Easy but secure access to personal data from healthcare and city services,1,1,,
"becoming more knowledgeable about how access to city information via technology, having access to that technology, so we can make better informed decisions for ourselves. ",0,1,,
Cities that focus on sustainability and accessibility.,0,1,,
"Where residents can take care of all their City needs online - pay bills, request services, etc., where the City is clean and brightly lit (which SATX is not - it's so dirty downtown but also all over), residents and visitors flock downtown and feel safe and able to access free citywide WiFi, etc. ",1,1,,
"solar, wind power. internet access at ""hot spots"" through out the city.",1,0,,
Bladerunner,1,0,,
"intelligent people, but i think it's supposed to be something about the environment",0,0,,
"a hybrid between nature and infrastructure, where we use trees and mother nature to combat problems like flooding, draughts, etc.",0,0,,
a light bulb turned on by a smart device (phone/remote/etc.),1,0,,
Progressive. Future. Efficiency.,0,0,,
"Technology, digital road signs information ",1,0,,
"Wasteful Gov spending, catch phrases, word salads, offerings to the low information voter to garner their botes",0,0,,
Cities that leverage technology to assist in improving the lives of their residents.,1,0,,
up to date with all the new technology and resources,1,0,,
"When I think of a ""smart city"" I also think of a green / environmentally friendly city. I think of a city like Pittsburgh which blends both technological advancements and the environment around them. San Antonio definitely has the potential to become a ""smart city"".",1,0,,
A City with advanced technology to help citizens.,1,0,,
"Using technology, data, to bring/improve public services.",1,0,,
technology integrated into everyday functions,1,0,,
"I think of well connected cities where the digital divide is minimal or nonexistent, where residents have easy access to the information that they need, and that is on the cutting edge of using technology to address big issues like sustainability and public health.",1,0,,
Technology and better use of our resources.,1,0,,
"I would like for it to mean greater access to internet and wifi, but all that comes to mind are the dumb kiosk located downtown.",1,0,,
Sustainable eco system that teaches people how to live more frugal and better prepared for an emergency or natural disaster.,0,0,,
Have never heard that term before - but I'd assume a city that is technologically advanced,1,0,,
A city of technology and resources to keep up with the changing of time.,1,0,,
Efficient public transportation and access to internet,1,1,,
"A city where the flow of traffic, pedestrians, and cyclists are well thought out.  Technology is being used in many ways to achieve these goals.",1,0,,
A mixture of Silicon Valley/Austin/Portland all in one City.,0,0,,
"Dense neighborhoods with a walkable grocery store, restaurants, pharmacy, etc. as well as modern technology that feels like we are living in the future",0,1,,
Protected bicycle lanes.,0,0,,
Electric instead of gas-powered.  My problem is our electric grid is barely hanging on.  Maybe we should use both and improve our gas situation with using United States gas.,1,0,,
"More charging places for electric vehicles, better internet access, more electric means of public transportation",1,1,,
"Connected city, to services, facilities, public information, and internet access.",1,1,,
"A well planned, well-spaced, and well-connected city.  Space is used efficiently and there is a balance between urban progress and maintaining a green, healthy, environmentally sound rural aspects; like large parks and greenways near city centers to break up the skyscraper crowding.",0,0,,
Those kiosks downtown.,0,0,,
Technology that makes things easier and cheaper,1,0,,
"free wifi in City owned properties and for specific city departments to monitor social media webites to see and listen to crime, events that are both good and bad.",1,0,,
Incorporating innovative and creative practices to make San Antonio a more livable city.,1,1,,
Technology incorporated throughout and easy to access. Making City services and information easy and accessible.,1,1,,
Urban area that uses technology to collect data.,1,0,,
"The use of technology and data to improve quality of life. I want to use public wifi to look up and book a bus or train ticket to check out a new park I discovered from a public information kiosk, and pay for a snack at a stand when I get there! :)",1,1,,
"It is a city that prepares for the future; a city that enhances the quality of life and reduce emissions.  One in which infrastructure and services must be more efficient and environment-friendly, anc accessible to all..  ",0,0,,
"See my comment above. ÒSmartÓ means ban single use plastics, keep our city pollution free, Offer FREE neutering and spaying of animals as there are unwanted animals everywhere. Make it MANDATORY for people to spay/ neuter their pet. A better food bank and housing assistance. Affordable health care. Reduce speeding and dangerous drivers on our roads. San Antonio is not a smart city. ItÕs in terrible shape and city politicians are doing nothing but collecting their salaries and sitting on their behinds. We see you. Paving a road here and there pretending it means something while ignoring the true problems that city has ",0,0,,
A 'smart city' is one that uses technology to improve the well-being of the citizens of the city.,1,0,,
different benefits and services being run by technology,1,0,,
smart to me means info.  the ability to receive and send info quickly and easily,0,0,,
Access to efficient public transportation. I was originally interested in public transportation when I moved to San Antonio until I found my usual 15 minute commute would turn into 50 minutes plus a half mile walk. We also have bus stops with no shade in unlit areas. As a  city we are not offering safe or efficient public transportation options. I know as a resident until the safety and accessibility increases I will not take advantage.,0,1,,
A city that is designed around the needs of the citizens and that prioritizes wellness and access,0,1,,
"Technology upgraded and available for its citizens, tourist and workers.  ",1,0,,
"A city that uses technology to improve its environmental footprint. Robust and secure connectivity throughout the city. An environmentally efficient train that allows us to commute to Austin, Houston, Dallas and El Paso. ",1,0,,
Digital,1,0,,
Exploration of new electric generation ideas such as thorium chlorine/salt based technology.,1,0,,
All of city information is easily accessible and easy to find.,0,1,,
Something that San Antonio will always try to achieve. But come up just short.,0,0,,
Using technology to make manual tasks easier,1,0,,
A city which is designed with time management and quality of service as the targets. we should aim to enhance services around the city in a way to help residents enjoy using the time of distractions to minimal.,0,0,,
cities that have achieved something close to self sustaining for a service.,0,0,,
Cities that are leading the way through their use of technology. They have effectively used technology to improve the quality of life for many of their residents.,1,0,,
"Smart hubs where there are different modes of transportation in areas of the city such as, airports, downtown, colleges, and transportation stops. Smart hubs include rentable items like scooters, bikes, smart cars, cars, uber/lyft drop-off area, etc. ",1,1,,
"Governmental bloat.  Make it easy, and fix things already here and needing work.",0,0,,
Cities proactively adapting to a future their citizens require.,0,0,,
A city that is data driven.,0,0,,
A city that makes available resources to its communities with little impact on the environment.,0,0,,
